time	V(out)
Step Information: Cx=10f  (Run: 1/11)
0.000000000000000e+000	2.979928e+000
1.059367792182870e-009	2.979928e+000
3.178103376549456e-009	2.979925e+000
7.415574545281783e-009	2.979918e+000
1.589051688274644e-008	2.979897e+000
3.284040155767659e-008	2.979841e+000
4.964008978899125e-008	2.979773e+000
6.479165434650615e-008	2.979707e+000
8.026158825470863e-008	2.979642e+000
9.768412347564970e-008	2.979575e+000
1.385574938984662e-007	2.979456e+000
1.761488545973508e-007	2.979388e+000
2.309738601106873e-007	2.979342e+000
2.758752168679751e-007	2.979334e+000
3.256717974471726e-007	2.979339e+000
4.977462139484399e-007	2.979360e+000
1.358225596605115e-006	2.979358e+000
2.256010269847791e-006	2.979356e+000
3.453056500838026e-006	2.979354e+000
5.847148962818495e-006	2.979351e+000
9.847148962818494e-006	2.979348e+000
1.384714896281850e-005	2.979346e+000
1.734416608922869e-005	2.979346e+000
2.110221188290852e-005	2.979347e+000
2.261908594551890e-005	2.979347e+000
2.450194294303486e-005	2.979348e+000
2.631483034675033e-005	2.979349e+000
2.864002322106020e-005	2.979351e+000
3.240723046369560e-005	2.979354e+000
3.640723046369560e-005	2.979358e+000
4.040723046369560e-005	2.979362e+000
4.440723046369560e-005	2.979367e+000
4.840723046369560e-005	2.979371e+000
5.240723046369560e-005	2.979374e+000
5.362981152497211e-005	2.979388e+000
5.387832213026632e-005	2.979424e+000
5.396519546780097e-005	2.979461e+000
5.404663925152859e-005	2.979503e+000
5.407255291597320e-005	2.979509e+000
5.413181940522452e-005	2.979502e+000
5.419128473900743e-005	2.979489e+000
5.423209746131410e-005	2.979479e+000
5.431372290592744e-005	2.979461e+000
5.436609969061103e-005	2.979451e+000
5.443287285285318e-005	2.979440e+000
5.448699991138578e-005	2.979432e+000
5.454578357019265e-005	2.979425e+000
5.464079681523421e-005	2.979415e+000
5.474539468165368e-005	2.979406e+000
5.486832958875683e-005	2.979399e+000
5.502895227245300e-005	2.979393e+000
5.520754149969314e-005	2.979389e+000
5.567080747511681e-005	2.979385e+000
5.686254999262726e-005	2.979384e+000
5.781571724862008e-005	2.979384e+000
5.931082110112408e-005	2.979384e+000
6.230102880613211e-005	2.979384e+000
6.630102880613210e-005	2.979385e+000
7.030102880613210e-005	2.979387e+000
7.232981475366557e-005	2.979389e+000
7.414372264337099e-005	2.979396e+000
7.481314553995988e-005	2.979398e+000
7.506784873825949e-005	2.979396e+000
7.525930798659893e-005	2.979402e+000
7.565142726207599e-005	2.979402e+000
7.592660221033236e-005	2.979396e+000
7.612076746054162e-005	2.979388e+000
7.621057556148290e-005	2.979382e+000
7.624106987797136e-005	2.979381e+000
7.627738445829685e-005	2.979385e+000
7.629736068547016e-005	2.979391e+000
7.631705141159766e-005	2.979405e+000
7.633355044901877e-005	2.979423e+000
7.634728311782662e-005	2.979447e+000
7.635848762889613e-005	2.979473e+000
7.636687043186049e-005	2.979499e+000
7.637716406531196e-005	2.979540e+000
7.638719313408154e-005	2.979593e+000
7.640285800129487e-005	2.979703e+000
7.641912855741355e-005	2.979862e+000
7.644040661833600e-005	2.980155e+000
7.646314885295133e-005	2.980582e+000
7.649099162271989e-005	2.981252e+000
7.652240959119184e-005	2.982121e+000
7.656163174820368e-005	2.983202e+000
7.660731194169990e-005	2.984268e+000
7.664926006185992e-005	2.984930e+000
7.669918984666249e-005	2.985269e+000
7.675946480942156e-005	2.985164e+000
7.683100009947595e-005	2.984528e+000
7.690881063782793e-005	2.983453e+000
7.699686205734098e-005	2.982023e+000
7.707621481758987e-005	2.980691e+000
7.716017949137161e-005	2.979287e+000
7.724602471475883e-005	2.977848e+000
7.740956364755929e-005	2.975192e+000
7.750563947747673e-005	2.973904e+000
7.757066389622186e-005	2.973403e+000
7.762402304556286e-005	2.973372e+000
7.766843232635206e-005	2.973687e+000
7.770792959805522e-005	2.974277e+000
7.774709471895250e-005	2.975132e+000
7.779054997599693e-005	2.976269e+000
7.781749899685121e-005	2.976999e+000
7.784611646702704e-005	2.977705e+000
7.788390486216126e-005	2.978457e+000
7.792398446497599e-005	2.979017e+000
7.796476687058686e-005	2.979357e+000
7.799642658224954e-005	2.979496e+000
7.801135419334174e-005	2.979526e+000
7.803234100652036e-005	2.979539e+000
7.805280253391322e-005	2.979532e+000
7.808094676635715e-005	2.979507e+000
7.811147639456872e-005	2.979473e+000
7.816074028790302e-005	2.979421e+000
7.825385381961443e-005	2.979373e+000
7.836909031938405e-005	2.979368e+000
7.865273173356085e-005	2.979384e+000
7.910500399145445e-005	2.979387e+000
7.945534537996911e-005	2.979388e+000
8.015602815699842e-005	2.979391e+000
8.155739371105706e-005	2.979397e+000
8.283220728079146e-005	2.979402e+000
8.433807887209073e-005	2.979406e+000
8.598837486905450e-005	2.979409e+000
8.766055308582350e-005	2.979410e+000
8.893343114679693e-005	2.979410e+000
8.984167876059087e-005	2.979410e+000
9.100244990756099e-005	2.979410e+000
9.228872689226464e-005	2.979409e+000
9.437493028830006e-005	2.979408e+000
9.661496305476034e-005	2.979406e+000
9.964691116657683e-005	2.979426e+000
9.999456724217502e-005	2.979634e+000
1.001595655653862e-004	2.979838e+000
1.001931983814869e-004	2.979699e+000
1.002111125993346e-004	2.979543e+000
1.002168565014746e-004	2.979519e+000
1.002196970911539e-004	2.979512e+000
1.002219940705677e-004	2.979502e+000
1.002245919084557e-004	2.979491e+000
1.002351548616525e-004	2.979453e+000
1.002703405063473e-004	2.979367e+000
1.002936947161932e-004	2.979347e+000
1.003165545462960e-004	2.979344e+000
1.003426295584212e-004	2.979349e+000
1.003983586319289e-004	2.979369e+000
1.004796696470341e-004	2.979398e+000
1.006051693955554e-004	2.979412e+000
1.015458860435049e-004	2.979408e+000
1.025464969933188e-004	2.979406e+000
1.035052569537022e-004	2.979404e+000
1.050662053801640e-004	2.979402e+000
1.074118562222150e-004	2.979399e+000
1.114118562222150e-004	2.979397e+000
1.154118562222150e-004	2.979396e+000
1.181317531810724e-004	2.979396e+000
1.214263832071932e-004	2.979397e+000
1.230224723375078e-004	2.979397e+000
1.245230626381200e-004	2.979398e+000
1.263226863715681e-004	2.979399e+000
1.286527983964389e-004	2.979401e+000
1.324278227658104e-004	2.979404e+000
1.364278227658103e-004	2.979408e+000
1.404278227658103e-004	2.979412e+000
1.444278227658104e-004	2.979416e+000
1.484278227658103e-004	2.979420e+000
1.524278227658104e-004	2.979424e+000
1.536540681441395e-004	2.979446e+000
1.539070923077314e-004	2.979488e+000
1.540034347675302e-004	2.979525e+000
1.540788435988252e-004	2.979552e+000
1.541087895092825e-004	2.979554e+000
1.541509390216690e-004	2.979548e+000
1.541840731714365e-004	2.979541e+000
1.542178580601909e-004	2.979532e+000
1.542530092887522e-004	2.979524e+000
1.543233117458747e-004	2.979509e+000
1.543858816629798e-004	2.979497e+000
1.544489532855859e-004	2.979487e+000
1.545131109648620e-004	2.979478e+000
1.546145507925981e-004	2.979467e+000
1.547022234646465e-004	2.979459e+000
1.548057789472877e-004	2.979452e+000
1.549781174477930e-004	2.979445e+000
1.551504009261403e-004	2.979440e+000
1.555742736817741e-004	2.979436e+000
1.575017914905865e-004	2.979434e+000
1.589584685101312e-004	2.979434e+000
1.610607829870928e-004	2.979434e+000
1.650607829870928e-004	2.979434e+000
1.690607829870928e-004	2.979436e+000
1.717762163454709e-004	2.979438e+000
1.734571349333800e-004	2.979442e+000
1.752951184863533e-004	2.979451e+000
1.753168651131905e-004	2.979455e+000
1.753603583668648e-004	2.979466e+000
1.753766614858701e-004	2.979468e+000
1.754546418627689e-004	2.979461e+000
1.757636251250839e-004	2.979450e+000
1.759197354355427e-004	2.979447e+000
1.761350393286115e-004	2.979437e+000
1.762320739521230e-004	2.979431e+000
1.762523515631734e-004	2.979433e+000
1.762929067852743e-004	2.979444e+000
1.763150894668338e-004	2.979458e+000
1.763305676210886e-004	2.979476e+000
1.763432149734461e-004	2.979498e+000
1.763538690338735e-004	2.979523e+000
1.763620578921947e-004	2.979549e+000
1.763722562037051e-004	2.979589e+000
1.763822261350606e-004	2.979642e+000
1.763978068628207e-004	2.979751e+000
1.764140111488257e-004	2.979910e+000
1.764352038160940e-004	2.980201e+000
1.764578389678069e-004	2.980627e+000
1.764856639431471e-004	2.981298e+000
1.765167427615024e-004	2.982162e+000
1.765564774331341e-004	2.983269e+000
1.766018265230210e-004	2.984341e+000
1.766440016614646e-004	2.985019e+000
1.766935822849728e-004	2.985369e+000
1.767538122725090e-004	2.985276e+000
1.768257258905503e-004	2.984646e+000
1.769038851209195e-004	2.983573e+000
1.769832654479549e-004	2.982289e+000
1.770670470687043e-004	2.980889e+000
1.771479274577754e-004	2.979548e+000
