temperature	V(vout)
-1.000000000000000e+001	4.224390e-001
-5.000000000000000e+000	6.363750e-001
0.000000000000000e+000	8.499955e-001
5.000000000000000e+000	1.063301e+000
1.000000000000000e+001	1.276290e+000
1.500000000000000e+001	1.488965e+000
2.000000000000000e+001	1.701324e+000
2.500000000000000e+001	1.913367e+000
3.000000000000000e+001	2.125095e+000
3.500000000000000e+001	2.336508e+000
4.000000000000000e+001	2.547606e+000
4.500000000000000e+001	2.758389e+000
5.000000000000000e+001	2.968857e+000
